表示名,チャンネルID,参加配信数,総コメント数,平均コメント数,初参加日,最終参加日
@バナナフィッシュ-v7t,UC-c5ufeJz3_dlW0290u2dVw,1,2,2.0,2026-03-09,2026-03-09
@TAIDASETO,UC0eNkzwlBjIci-AEUs0WAzA,1,2,2.0,2026-03-14,2026-03-14
@はちまんvt,UC1mLzv6gsC9O_YXA1wvu3iw,1,2,2.0,2026-03-17,2026-03-17
@猫好き猫霊,UC2tMC8ndw0eEA07yiM0jgNQ,1,2,2.0,2026-06-09,2026-06-09
@永遠の社員,UC5RMuMw2__8bdvIyRjSjRYA,1,2,2.0,2026-05-17,2026-05-17
@かいしん1,UC6ieTkUdoTpDTp6YQvToFhg,1,2,2.0,2026-03-09,2026-03-09
@xqjmvm,UC9cvGTx9i9OrQJQBDBk4d0Q,1,2,2.0,2026-03-24,2026-03-24
@フランドールスカーレット-0,UCFUlq26UDMghGoYUGPrbWWA,1,2,2.0,2026-03-09,2026-03-09
@ゆかりん-n8m,UCGQwtvoqxcLa3W__bz6Jmkg,1,2,2.0,2026-03-09,2026-03-09
@満天笑雨_Warau,UCOKjsjA6o6yV-hBo9N40Eyw,1,2,2.0,2026-05-21,2026-05-21
@aoat5661,UCVp_DOqPRIZgw_d_oVaG6Bg,1,2,2.0,2026-03-24,2026-03-24
@tokonat,UCZQHSEAvI6Hm4yAa4hsYmWQ,1,2,2.0,2026-06-12,2026-06-12
@七咲ネモル,UC_x2ihi-3Y6__YkToeUmu2w,1,2,2.0,2026-05-04,2026-05-04
@リーヤ_liya,UCe8t0cCuoxe2x1QpmHKKOxw,1,2,2.0,2026-03-01,2026-03-01
@ひで0521,UCrzbVZORQNBFqrvZRPXWxkQ,1,2,2.0,2026-05-24,2026-05-24
@お兄ちゃんpn,UCu2iUuzl189MXB3oJe0vULg,1,2,2.0,2026-05-25,2026-05-25
@nasty_nsroom1990,UCxAojUde_Niu4z7QM23k3pQ,1,2,2.0,2026-02-25,2026-02-25
@ねこみみちゃん-p2c,UC-IcB6OKYCAmdGZGzjBBRzw,1,1,1.0,2026-05-04,2026-05-04
@Komorikanakusi,UC-yFKE7VGhuY9-sAAoSuFVw,1,1,1.0,2026-06-03,2026-06-03
@メリ坊,UC4e8raVm-kQ0BSlNrpNEhPw,1,1,1.0,2025-06-06,2025-06-06
@こっぱみじんこ視聴用,UC75V8zKqWHaKKzXvyAjmJcQ,1,1,1.0,2026-03-17,2026-03-17
@misumaru510,UC7NoKPDBLtYcrkxC4HdsKLQ,1,1,1.0,2026-05-21,2026-05-21
@miya2166,UC83RlEIEVpcpPpP2kx5USog,1,1,1.0,2026-06-25,2026-06-25
@Mahjongむぅちゃん,UCBCQUK3TAou5h5X9soFWTrw,1,1,1.0,2026-04-29,2026-04-29
@京浜東北線-x7u,UCFgpTcd-FMB9-i0Z3M6l30Q,1,1,1.0,2026-04-29,2026-04-29
@アリサトミナト,UCMbydDcf2s-C8kqyxfKIZKA,1,1,1.0,2026-03-04,2026-03-04
@のどっち-f7g,UCO__YVf-r6CSFzuJvlw3SuQ,1,1,1.0,2026-04-13,2026-04-13
@麻雀界の服部桜,UCQiFFzuqcsXH2Q16ci6Jseg,1,1,1.0,2026-03-25,2026-03-25
@Alicegawa_shin,UCRZIarAoTM5ts0WYgbkoGCw,1,1,1.0,2026-05-03,2026-05-03
@星野篤隆,UCVNtXjMH533e97SilPq-mPw,1,1,1.0,2026-06-19,2026-06-19
@天使長Michael-ミカエル,UCb6bDUMvP_XeY0vH4O3GxlQ,1,1,1.0,2026-02-24,2026-02-24
@Toppyvt,UCd9JRZqZgXtXJI1Ke_Itk7A,1,1,1.0,2026-05-21,2026-05-21
@哀音_aine,UCdIfrYhUXmvA-pRyzZM5jBQ,1,1,1.0,2026-04-29,2026-04-29
@ヒーロー好き-j6i,UCkJbhOpDn3b8knd_isDBj6g,1,1,1.0,2026-02-27,2026-02-27
@ssksun682,UCnPyucptAM5JSETp4lCGnsQ,1,1,1.0,2026-04-29,2026-04-29
@無言-b7k,UCqp190luXR1xELGm_5-KCow,1,1,1.0,2026-02-24,2026-02-24
@イガワシゲル,UCrpZg4aMZF44QcgriU45AEA,1,1,1.0,2026-03-04,2026-03-04
@伊勢美剣,UCuQQ_lHcnK7aHpkix5sBX-Q,1,1,1.0,2026-04-29,2026-04-29
@六倍役満-o9z,UCuTeKc030ok7Gaq0NCeEdxg,1,1,1.0,2026-03-25,2026-03-25
